# MEGA-INFORME DE AUDITORÍA DEL CHATBOT (50 CASOS)

Fecha: 5/5/2026, 13:02:14
Resumen: ✅ 43 | ❌ 7 | Total: 50

| #  | Prueba                                  | Entrada                                                     | Respuesta Esperada                                       | Respuesta Aportada                                       | Éxito  |
| 39 | L.9 Typos en pieza                      | "busco un alternadror"                                      | articulo: alternador                                     | articulo: alternador                                     | ✅ SÍ   |
| 40 | L.10 Caracteres especiales              | "faro @ Audi !!!"                                           | articulo: faro, marca: Audi                              | articulo: faro, marca: Audi                              | ✅ SÍ   |
| 41 | F.1 Flujo: Inicio                       | "Hola"                                                      | BLOQUEO                                                  | {}                                                       | ✅ SÍ   |
| 42 | F.2 Flujo: Pieza                        | "Busco un compresor"                                        | articulo: compresor                                      | articulo: compresor                                      | ✅ SÍ   |
| 43 | F.3 Flujo: Marca                        | "De un Mercedes"                                            | articulo: compresor, marca: Mercedes                     | articulo: compresor, marca: Mercedes                     | ✅ SÍ   |
| 44 | F.4 Flujo: Modelo                       | "Es un Clase C"                                             | modelo: Clase C                                          | modelo: Clase C                                          | ✅ SÍ   |
| 45 | F.5 Flujo: Año                          | "Del 2014"                                                  | ano: 2014                                                | ano: 2014                                                | ✅ SÍ   |
| 46 | F.6 Flujo: Cambio Pieza                 | "Y ahora busca el condensador"                              | articulo: condensador, marca: Mercedes                   | articulo: condensador, marca: Mercedes                   | ✅ SÍ   |
| 47 | F.7 Flujo: Cambio Coche                 | "Es para un Audi A4"                                        | marca: Audi, modelo: A4                                  | marca: Audi, modelo: A4                                  | ✅ SÍ   |
| 48 | F.8 Flujo: Referencia                   | "Tengo la ref 8K0820191"                                    | referencia: 8K0820191                                    | referencia: 8K0820191                                    | ✅ SÍ   |
| 49 | F.9 Flujo: Pregunta stock               | "¿Lo tenéis en stock?"                                      | referencia: 8K0820191                                    | referencia: 8K0820191                                    | ✅ SÍ   |
| 50 | F.10 Flujo: Cierre                      | "Vale, pediré ese"                                          | es_busqueda: true                                        | {}                                                       | ✅ SÍ   |
